model,task,cohort,metric,n,n_positive,ours,baseline,difference,p_raw,test,delong_variance,p_holm105,p_holm3780,p_holm19_conditional,p_holm684_conditional,significant_raw,significant_holm105,significant_holm3780,significant_holm19_conditional,significant_holm684_conditional
Extra trees,IDH,UCSF,mcc,495,103,0.78138872056826103,0.32544314592531715,0.45594557464294388,8.4221209550041611e-17,exact paired swap,,7.1588028117535374e-15,2.759086824859363e-13,1.3475393528006658e-15,4.8595637910374009e-14,True,True,True,True,True
Extra trees,IDH,UCSF,roc_auc,495,103,0.95321478105805435,0.75282345948087981,0.20039132157717454,3.0692745869441714e-13,paired DeLong,0.00077519378986846185,2.5168051612942205e-11,9.1802002895500167e-10,4.2969844217218403e-12,1.6328540802542991e-10,True,True,True,True,True
Extra trees,1p/19q,UCSF,accuracy,404,15,0.84653465346534651,0.58415841584158412,0.26237623762376239,2.1651141601642097e-19,exact McNemar,,1.6671379033264414e-17,7.4263415693632392e-16,1.9486027441477888e-18,1.2860778111375405e-16,True,True,True,True,True
Extra trees,1p/19q,UCSF,f1,404,15,0.26190476190476192,0.10638297872340426,0.15552178318135768,5.9896591573522473e-15,exact paired swap,,5.9297625657787253e-13,1.8723674525883124e-11,8.9844887360283715e-14,3.3482194689599063e-12,True,True,True,True,True
Extra trees,1p/19q,UCSF,mcc,404,15,0.2935348174107989,0.094627719836089461,0.19890709757470942,1.1663058293940645e-11,exact paired swap,,1.1779688876880052e-09,3.313474861308537e-08,1.9827199099699097e-10,5.9248336133218472e-09,True,True,True,True,True
Extra trees,1p/19q,UCSF,roc_auc,404,15,0.92476435304198801,0.71808054841473856,0.20668380462724945,0.00043526059716765216,paired DeLong,0.0038538662951788415,0.038738193147921041,0.66507819247217248,0.0056583877631794779,0.10272150093156591,True,True,False,True,False
Extra trees,Grade,Xijing,accuracy,92,73,0.89130434782608692,0.51086956521739135,0.38043478260869557,2.7648638933897018e-10,exact McNemar,,2.8478098101913929e-08,7.4153649620711369e-07,4.7002686187624931e-09,1.3188400771468801e-07,True,True,True,True,True
Extra trees,Grade,Xijing,f1,92,73,0.9285714285714286,0.62184873949579833,0.30672268907563027,2.7648638933896858e-10,exact paired swap,,2.8478098101913764e-08,7.4153649620711369e-07,4.7002686187624658e-09,1.3188400771468801e-07,True,True,True,True,True
Extra trees,Grade,Xijing,mcc,92,73,0.71446711393530837,0.026851080677052733,0.6876160332582556,2.255546860396846e-10,exact paired swap,,2.3232132662087513e-08,6.0786987887694998e-07,3.8344296626746382e-09,1.0826624929904861e-07,True,True,True,True,True
Extra trees,Grade,Xijing,roc_auc,92,73,0.92285508291276142,0.60670511896178814,0.31614996395097328,1.1224410114457065e-05,paired DeLong,0.0055622871329954662,0.0010214213204155929,0.022381473768227387,0.00021326379217468422,0.0036254844669696318,True,True,True,True,True
Extra trees,IDH,Xijing,accuracy,105,17,0.92380952380952386,0.64761904761904765,0.27619047619047621,6.5425410866737366e-08,exact McNemar,,3.7946738302707672e-06,0.0001563667319715023,8.5053034126758575e-07,2.7086120098829269e-05,True,True,True,True,True
Extra trees,IDH,Xijing,f1,105,17,0.80952380952380953,0.43076923076923079,0.37875457875457874,5.4598785936832402e-08,exact paired swap,,3.3305259421467764e-06,0.0001315830741077661,7.0978421717882125e-07,2.2822292521595945e-05,True,True,True,True,True
Extra trees,IDH,Xijing,mcc,105,17,0.78624539310689645,0.32326144136112134,0.46298395174577511,5.4249539971351597e-08,exact paired swap,,3.3092219382524473e-06,0.00013079564087092871,7.0524401962757079e-07,2.273055724799632e-05,True,True,True,True,True
Extra trees,IDH,Xijing,roc_auc,105,17,0.98195187165775411,0.81082887700534756,0.17112299465240655,0.0087034279552343132,paired DeLong,0.0051783723496229665,0.50479882140359011,1,0.13055141932851469,1,True,False,False,False,False
