model,task,metric,n,n_positive,ours,baseline,difference,p_raw,test,alternative,delong_variance,test_status,p_holm91,p_holm910,p_holm19_conditional,p_holm190_conditional,significant_raw,significant_holm91,significant_holm910,significant_holm19_conditional,significant_holm190_conditional,numerically_higher
DenseNet121 3D,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.90000000000000002,-0.099999999999999978,1,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,False
DenseNet121 3D,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.24572812304020408,0.41406124223919305,0.001953125,exact patient swap of medians,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
DenseNet121 3D,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.40000000000000002,0.29999999999999993,0.1875,exact McNemar,greater,,OK,,,0.5625,1,False,False,False,False,False,True
DenseNet121 3D,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.28281250000000002,0.56718749999999996,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
EfficientNet-B0 3D,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.23809523809523811,0.61904761904761896,0.00039455649450781627,paired DeLong (small sample),greater,,OK,,,0.0071020169011406925,0.068652830044360028,True,False,False,True,False,True
EfficientNet-B0 3D,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.29999999999999999,0.5,0.03125,exact McNemar,greater,,OK,,,0.46875,1,True,False,False,False,False,True
EfficientNet-B0 3D,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.012317090922502983,0.64747227435689414,0.0078125,exact patient swap of medians,greater,,OK,,,0.0703125,0.9140625,True,False,False,False,False,True
EfficientNet-B0 3D,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0,0.69999999999999996,0.0078125,exact McNemar,greater,,OK,,,0.1484375,0.9140625,True,False,False,False,False,True
EfficientNet-B0 3D,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.073437500000000003,0.77656249999999993,0.001953125,exact patient swap of means,greater,,OK,,,0.037109375,0.2890625,True,False,False,True,False,True
GlioMT image-only Transformer,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.52380952380952384,0.33333333333333326,0.070741060741396786,paired DeLong (small sample),greater,,OK,,,0.56592848593117429,1,False,False,False,False,False,True
GlioMT image-only Transformer,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.5,0.30000000000000004,0.1875,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
GlioMT image-only Transformer,Grade,spatial_discriminability_ratio,10,7,0.65978936527939713,0.32768784531489026,0.33210151996450687,0.0849609375,exact patient swap of medians,greater,,OK,,,0.0849609375,1,False,False,False,False,False,True
GlioMT image-only Transformer,Grade,biopsy_strict_5_0_label_correct_fraction,10,7,0.69999999999999996,0.29999999999999999,0.39999999999999997,0.109375,exact McNemar,greater,,OK,,,0.546875,1,False,False,False,False,False,True
GlioMT image-only Transformer,Grade,reference_strict_5_0_same_sign_fraction,10,7,0.84999999999999998,0.42656250000000001,0.42343749999999997,0.0087890625,exact patient swap of means,greater,,OK,,,0.0703125,0.931640625,True,False,False,False,False,True
2.5D Hybrid MTL,Grade,biopsy_local_auc,10,7,0.8571428571428571,0.61904761904761907,0.23809523809523803,0.16494022589440049,paired DeLong (small sample),greater,,OK,,,0.64112150326591366,1,False,False,False,False,False,True
2.5D Hybrid MTL,Grade,biopsy_direction_agreement,10,7,0.80000000000000004,0.69999999999999996,0.10000000000000009,0.5,exact McNemar,greater,,OK,,,1,1,False,False,False,False,False,True
